book_name,author_year,summary,link
Data-Intensive Text Processing with MapReduce,"Jimmy Lin & Chris Dyer, 2010",MapReduce [45] is a programming model for expressing distributed computations on massive amounts of data and an execution framework for large-scale data processing on clusters of commodity servers. It was originally developed by Google...,https://lintool.github.io/MapReduceAlgorithms/MapReduce-book-final.pdf
Hadoop Illuminated,"Mark Kerzner & Sujee Maniyam, 2014","'Hadoop illuminated' is the open source book about Apache Hadoop™. It aims to make Hadoop knowledge accessible to a wider audience, not just to the highly technical.",http://hadoopilluminated.com/index.html
Hadoop Tutorial as a PDF,Tutorials Point,Intro to Hadoop - An open-source framework for storing and processing big data in a distributed environment across clusters of computers using simple programming models. It is designed to scale up from single servers to thousands of machines.,http://www.tutorialspoint.com/hadoop/hadoop_tutorial.pdf
Programming Pig,"Alan Gates, 2011","This guide is an ideal learning tool and reference for Apache Pig, the open source engine for executing parallel data flows on Hadoop.",http://amzn.to/1gIkvgC
Building Data Science Teams,DJ Patil,"In this in-depth report, data scientist DJ Patil explains the skills,perspectives, tools and processes that position data science teams for success.",http://www.oreilly.com/data/free/building-data-science-teams.csp
Data Driven: Creating a Data Culture,"DJ Patil,‎ Hilary Mason","In this O’Reilly report, DJ Patil and Hilary Mason outline the steps you need to take if your company is to be truly data-driven—including the questions you should ask and the methods you should adopt.",http://www.oreilly.com/data/free/data-driven.csp
Understanding the Chief Data Officer,Julie Steele,"To manage today's flood of available data, a number of high-profile corporations have adopted a new position in addition to existing CTOs and CIOs: the Chief Data Officer, or CDO.",http://www.oreilly.com/data/free/understanding-chief-data-officer.csp
The Data Analytics Handbook,"Brian Liou, Tristan Tao, & Declan Shener 2015",A free handbook series released by Leada to help promote data analytics literacy.,https://www.teamleada.com/handbook
The Data Science Handbook,"by Carl Shan (Author),‎ William Chen (Author),‎ Henry Wang (Author),‎ Max Song (Author)","The Data Science Handbook is a compilation of in-depth interviews with 25 remarkable data scientists, where they share their insights, stories, and advice.",https://www.amazon.com/gp/product/0692434879/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=0692434879&linkCode=as2&tag=datascihandbook-website-20&linkId=J7RCS3NV5BFPAPTB
A Byte of Python,"Swaroop C H, 2003","‘A Byte of Python’ is a free book on programming using the Python language. It serves as a tutorial or guide to the Python language for a beginner audience. If all you know about computers is how to save text files, then this is the book for you.",http://files.swaroopch.com/python/byte_of_python.pdf
Advanced R,"Hadley Wickham, 2014","Useful tools and techniques for attacking many types of R programming problems, helping you avoid mistakes and dead ends. With ten+ years of experience programming in R, the author illustrates the elegance, beauty, and flexibility at the heart of R.",http://adv-r.had.co.nz/
A Little Book of R for Time Series,"Avril Coghlan, 2015",This is a simple introduction to time series analysis using the R statistics software.,https://a-little-book-of-r-for-time-series.readthedocs.org/en/latest/
Automate the Boring Stuff with Python: Practical Programming for Total Beginners,"Al Sweigart, 2015","Practical programming for total beginners. In Automate the Boring Stuff with Python, you'll learn how to use Python to write programs that do in minutes what would take you hours to do by hand-no prior programming experience required.",https://automatetheboringstuff.com/
Dive Into Python 3,"Mark Pilgrim, 2009","This is a hands-on guide to Python 3 and its differences from Python 2. Each chapter starts with a real, complete code sample, picks it apart and explains the pieces, and then puts it all back together in a summary at the end.",http://www.diveintopython3.net/
Ecological Models and Data in R,"Benjamin M. Bolker, 2008","The first truly practical introduction to modern statistical methods for ecology. In step-by-step detail, the book teaches ecology graduate students and researchers everything they need to know to analyze their own data using the R language.",http://ms.mcmaster.ca/~bolker/emdbook/index.html
Invent with Python,Albert Sweigart,,
Learning Statistics with R,"Daniel Navarro, 2015","I (Dani) started teaching the introductory statistics class for psychology students offered at the University of Adelaide, using the R statistical package as the primary tool. These are my own notes for the class which were trans-coded to book form.",http://compcogscisydney.org/learning-statistics-with-r/
